,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackels,Tkl Vs Dribbles,Att Vs Dribbles,Tkl% Vs Dribbles,Past Vs Dribble,Press Pressures,Succ Pressures,% Pressures,Def 3rd Pressures,Mid 3rd Pressures,Att 3rd Pressures,Blocks,Sh Blocks,ShSv Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Matches
420,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MF,Crystal Palace,28-141,1992,13.5,25,14,14,9,2,6,19,31.6,13,196,53,27.0,70,91,35,31,8,0,23,15,40,10,1,Matches
421,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,34-189,1986,36.0,0,0,0,0,0,0,0,,0,4,0,0.0,4,0,0,0,0,0,0,0,0,0,0,Matches
422,Nélson Semedo\Nelson-Semedo,pt POR,DF,Wolves,27-178,1993,30.1,79,49,52,17,10,36,64,56.3,28,490,145,29.6,245,161,84,53,12,0,41,41,120,83,0,Matches
423,Jamie Shackleton\Jamie-Shackleton,eng ENG,MFDF,Leeds United,21-217,1999,5.1,8,5,4,4,0,1,8,12.5,7,74,18,24.3,21,37,16,7,1,0,6,6,14,5,0,Matches
424,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,MFFW,Liverpool,29-215,1991,5.8,6,4,4,1,1,2,6,33.3,4,93,32,34.4,18,34,41,7,0,0,7,4,10,1,0,Matches
425,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,35-097,1986,8.2,7,5,0,5,2,3,10,30.0,7,145,34,23.4,13,63,69,2,0,0,2,3,10,1,0,Matches
426,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,25-305,1995,27.5,59,43,28,21,10,22,38,57.9,16,340,128,37.6,119,144,77,58,8,0,50,24,83,53,2,Matches
427,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,29-075,1992,26.1,42,23,22,16,4,10,42,23.8,32,336,67,19.9,133,153,50,29,11,1,18,37,79,60,0,Matches
428,Shola Shoretire\Shola-Shoretire,eng ENG,FW,Manchester Utd,17-100,2004,0.0,0,0,0,0,0,0,0,,0,3,0,0.0,0,3,0,0,0,0,0,0,0,0,0,Matches
429,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,31-247,1989,22.2,32,20,10,16,6,11,35,31.4,24,418,105,25.1,109,207,102,45,4,0,41,26,58,17,0,Matches
430,Bernardo Silva\Bernardo-Silva,pt POR,MFFW,Manchester City,26-276,1994,21.1,31,20,12,13,6,11,45,24.4,34,348,104,29.9,63,167,118,19,1,0,18,19,50,8,0,Matches
431,Fábio Silva\Fabio-Silva,pt POR,FW,Wolves,18-298,2002,12.3,5,2,1,4,0,1,8,12.5,7,200,49,24.5,22,100,78,10,1,0,9,5,10,4,0,Matches
432,Thiago Silva\Thiago-Silva,br BRA,DF,Chelsea,36-233,1984,19.5,21,12,15,5,1,9,16,56.3,7,94,34,36.2,43,47,4,24,13,1,11,23,44,97,1,Matches
433,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,31-270,1989,17.6,25,20,21,3,1,7,21,33.3,14,242,75,31.0,135,84,23,27,5,0,22,16,41,32,0,Matches
434,Islam Slimani\Islam-Slimani,dz ALG,FW,Leicester City,32-329,1988,0.2,0,0,0,0,0,0,0,,0,5,2,40.0,0,3,2,0,0,0,0,0,0,0,0,Matches
435,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,21-081,2000,1.9,6,4,2,3,1,1,4,25.0,3,43,18,41.9,9,21,13,5,0,0,5,1,7,2,0,Matches
436,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MFFW,Arsenal,20-289,2000,14.2,12,6,5,5,2,6,15,40.0,9,221,56,25.3,46,95,80,16,1,0,15,14,26,13,0,Matches
437,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Brom,33-248,1987,5.8,20,12,13,5,2,8,18,44.4,10,86,25,29.1,34,34,18,13,3,0,10,4,24,12,0,Matches
438,Robert Snodgrass\Robert-Snodgrass,sco SCO,FWDF,West Ham,33-248,1987,0.1,1,1,0,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,Matches
439,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,29-255,1991,8.3,16,10,9,5,2,6,22,27.3,16,116,35,30.2,52,43,21,14,2,0,12,8,24,21,0,Matches
440,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,26-075,1995,35.0,74,44,36,31,7,22,76,28.9,54,536,144,26.9,196,260,80,49,17,0,32,48,122,133,1,Matches
441,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,24-355,1996,18.2,24,15,12,12,0,5,17,29.4,12,136,48,35.3,80,51,5,19,10,0,9,24,48,96,2,Matches
442,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,26-041,1995,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
443,Dale Stephens\Dale-Stephens,eng ENG,MF,Burnley,31-335,1989,2.9,10,4,3,5,2,5,8,62.5,3,48,15,31.3,15,27,6,3,0,0,3,3,13,0,0,Matches
444,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,27-106,1994,15.1,32,16,19,12,1,14,34,41.2,20,149,49,32.9,86,55,8,39,12,0,27,21,53,78,1,Matches
445,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,26-156,1994,26.2,20,18,4,13,3,6,19,31.6,13,266,77,28.9,34,124,108,15,1,0,14,14,34,2,0,Matches
446,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,30-308,1990,27.0,49,22,27,16,6,19,55,34.5,36,375,81,21.6,178,139,58,58,13,1,45,45,94,93,2,Matches
447,John Stones\John-Stones,eng ENG,DF,Manchester City,26-350,1994,19.5,15,8,10,3,2,4,11,36.4,7,112,41,36.6,52,51,9,28,13,0,15,17,32,64,0,Matches
448,Pascal Struijk\Pascal-Struijk,nl NED,DFMF,Leeds United,21-275,1999,21.3,51,27,33,17,1,12,26,46.2,14,349,109,31.2,186,144,19,49,21,0,28,39,90,88,1,Matches
449,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,22-043,1999,3.5,1,1,1,0,0,0,1,0.0,1,36,12,33.3,23,9,4,7,3,0,4,1,2,12,0,Matches
450,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,25-237,1995,33.8,89,51,49,26,14,49,90,54.4,41,371,115,31.0,194,113,64,70,15,0,55,37,126,111,1,Matches
451,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,28-175,1992,33.0,69,38,58,8,3,29,50,58.0,21,225,93,41.3,151,65,9,64,41,2,23,49,118,218,1,Matches
452,Percy Tau\Percy-Tau,za RSA,FWMF,Brighton,27-000,1994,0.9,1,0,1,0,0,1,2,50.0,1,23,2,8.7,8,9,6,2,0,0,2,0,1,0,0,Matches
453,Sidnei Tavares\Sidnei-Tavares,pt POR,MF,Leicester City,19-226,2001,0.9,0,0,0,0,0,0,0,,0,19,7,36.8,8,9,2,1,1,0,0,1,1,0,0,Matches
454,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,27-237,1993,24.0,43,23,23,12,8,21,44,47.7,23,203,61,30.0,83,86,34,62,16,0,46,25,68,84,1,Matches
455,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,32-095,1989,0.2,1,0,1,0,0,0,0,,0,4,0,0.0,3,0,1,0,0,0,0,0,1,0,0,Matches
456,Allan Tchaptchet\Allan-Tchaptchet,fr FRA,DF,Southampton,19-143,2001,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
457,Nathan Tella\Nathan-Tella,eng ENG,FWMF,Southampton,21-312,1999,6.8,8,4,1,3,4,4,12,33.3,8,182,44,24.2,28,92,62,11,0,0,11,8,16,5,0,Matches
458,Alex Telles\Alex-Telles,br BRA,DF,Manchester Utd,28-149,1992,6.7,11,6,9,2,0,4,9,44.4,5,57,20,35.1,29,18,10,11,1,0,10,9,20,24,0,Matches
459,Kenny Tete\Kenny-Tete,nl NED,DF,Fulham,25-216,1995,14.4,50,24,29,15,6,10,21,47.6,11,217,65,30.0,108,72,37,28,5,0,23,23,73,55,0,Matches
460,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,19-337,2001,8.8,15,5,6,2,7,6,9,66.7,3,148,42,28.4,58,57,33,24,3,0,21,10,25,24,0,Matches
461,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,24-006,1997,35.3,67,49,25,29,13,24,86,27.9,62,466,161,34.5,146,231,89,52,9,0,43,35,102,25,0,Matches
462,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,23-342,1997,23.7,29,17,8,13,8,9,28,32.1,19,189,62,32.8,68,78,43,46,11,0,35,16,45,75,0,Matches
463,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,32-045,1989,4.3,4,2,3,1,0,3,4,75.0,1,25,6,24.0,20,5,0,4,1,0,3,2,6,37,0,Matches
464,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,23-145,1997,0.5,3,2,1,2,0,2,2,100.0,0,3,1,33.3,3,0,0,4,3,0,1,1,4,8,0,Matches
465,Ferrán Torres\Ferran-Torres,es ESP,FWMF,Manchester City,21-073,2000,13.2,12,5,5,4,3,6,20,30.0,14,199,57,28.6,36,84,79,17,1,0,16,6,18,5,0,Matches
466,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,29-340,1991,0.5,0,0,0,0,0,0,0,,0,8,1,12.5,2,4,2,0,0,0,0,0,0,0,0,Matches
