,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackels,Tkl Vs Dribbles,Att Vs Dribbles,Tkl% Vs Dribbles,Past Vs Dribble,Press Pressures,Succ Pressures,% Pressures,Def 3rd Pressures,Mid 3rd Pressures,Att 3rd Pressures,Blocks,Sh Blocks,ShSv Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Matches
494,Caleb Watts\Caleb-Watts,au AUS,MFFW,Southampton,19-117,2002,0.4,2,1,2,0,0,2,5,40.0,3,20,7,35.0,9,8,3,3,0,0,3,0,2,0,0,Matches
495,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,26-129,1995,25.8,27,18,16,9,2,13,25,52.0,12,181,74,40.9,80,79,22,44,20,1,24,38,65,106,0,Matches
496,Danny Welbeck\Danny-Welbeck,eng ENG,FW,Brighton,30-168,1990,15.9,12,8,3,6,3,4,14,28.6,10,232,59,25.4,41,89,102,23,3,0,20,5,17,10,0,Matches
497,Timo Werner\Timo-Werner,de GER,FW,Chelsea,25-068,1996,26.9,25,15,8,12,5,9,41,22.0,32,360,105,29.2,66,146,148,24,1,0,23,6,31,4,0,Matches
498,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,31-042,1990,34.9,23,12,8,12,3,5,36,13.9,31,440,118,26.8,134,243,63,46,10,0,36,45,68,46,0,Matches
499,Ben White\Ben-White,eng ENG,DFMF,Brighton,23-217,1997,32.5,52,31,26,22,4,22,60,36.7,38,370,124,33.5,169,167,34,59,20,0,39,40,92,67,1,Matches
500,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,30-183,1990,30.0,28,22,9,14,5,9,34,26.5,25,386,139,36.0,108,197,81,33,3,0,30,18,46,21,1,Matches
501,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,20-252,2000,1.1,1,1,0,1,0,0,1,0.0,1,7,3,42.9,2,4,1,1,0,0,1,4,5,2,0,Matches
502,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,20-030,2001,2.8,6,5,4,2,0,3,8,37.5,5,42,11,26.2,17,16,9,8,1,0,7,5,11,4,0,Matches
503,Rhys Williams\Rhys-Williams,eng ENG,DF,Liverpool,20-099,2001,3.4,3,2,1,2,0,1,1,100.0,0,23,10,43.5,14,7,2,2,1,0,1,2,5,25,1,Matches
504,Willian\Willian,br BRA,FWMF,Arsenal,32-277,1988,15.6,16,6,8,7,1,7,25,28.0,18,193,49,25.4,44,77,72,22,0,0,22,12,28,4,0,Matches
505,Joe Willock\Joe-Willock,eng ENG,MF,Newcastle Utd,21-266,1999,7.9,24,18,16,6,2,9,39,23.1,30,251,51,20.3,101,97,53,21,3,0,18,24,48,13,0,Matches
506,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,21-266,1999,2.6,4,4,2,1,1,0,7,0.0,7,42,15,35.7,14,16,12,9,1,0,8,5,9,0,0,Matches
507,Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,29-075,1992,23.2,13,10,2,6,5,3,12,25.0,9,335,90,26.9,33,139,163,18,3,0,15,3,16,12,1,Matches
508,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,25-100,1996,7.5,16,10,10,6,0,7,18,38.9,11,123,40,32.5,55,56,12,11,4,0,7,12,28,10,0,Matches
509,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,29-157,1991,27.7,14,9,2,3,9,5,15,33.3,10,315,81,25.7,18,119,178,25,3,0,22,5,19,18,0,Matches
510,Granit Xhaka\Granit-Xhaka,ch SUI,MFDF,Arsenal,28-228,1992,26.9,56,35,23,20,13,32,61,52.5,29,330,94,28.5,103,153,74,32,7,0,25,25,81,54,1,Matches
511,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,31-202,1989,4.2,6,4,3,2,1,1,6,16.7,5,56,21,37.5,22,21,13,7,0,0,7,3,9,1,0,Matches
512,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,27-308,1993,4.8,10,6,10,0,0,4,12,33.3,8,65,20,30.8,37,17,11,9,1,0,8,3,13,19,0,Matches
513,Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,West Brom,27-065,1994,11.9,41,28,21,18,2,13,32,40.6,19,235,77,32.8,102,112,21,19,1,0,18,31,72,30,0,Matches
514,Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,28-184,1992,26.0,29,21,11,13,5,8,29,27.6,21,482,112,23.2,93,236,153,18,0,0,18,24,53,1,0,Matches
515,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,25-178,1995,26.6,82,50,27,42,13,22,55,40.0,33,511,148,29.0,155,252,104,44,7,0,37,47,129,33,1,Matches
516,Andi Zeqiri\Andi-Zeqiri,ch SUI,DFFW,Brighton,21-325,1999,1.5,3,3,0,2,1,0,1,0.0,1,31,9,29.0,8,13,10,2,1,0,1,0,3,1,0,Matches
517,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,24-149,1996,14.4,21,13,9,7,5,14,28,50.0,14,137,43,31.4,52,57,28,21,2,0,19,19,40,41,0,Matches
518,Hakim Ziyech\Hakim-Ziyech,ma MAR,FWMF,Chelsea,28-055,1993,12.7,10,7,4,4,2,5,20,25.0,15,221,61,27.6,47,90,84,14,1,0,13,9,19,1,0,Matches
519,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,26-198,1994,22.5,21,13,12,7,2,6,11,54.5,5,109,40,36.7,52,53,4,23,12,0,11,26,47,128,2,Matches
520,Martin Ødegaard\Martin-Odegaard,no NOR,MF,Arsenal,22-147,1998,8.4,5,3,0,4,1,2,9,22.2,7,161,38,23.6,32,73,56,2,0,0,2,5,10,5,0,Matches
